customer_state,regiao,qtd_pedidos,receita_total,tempo_medio_entrega,ticket_medio
AC,Norte,78,18231.98,19.397435897435898,233.74333333333334
AL,Nordeste,394,92674.81,23.639593908629443,235.2152538071066
AM,Norte,144,27408.27,25.208333333333332,190.33520833333333
AP,Norte,66,15886.77,24.303030303030305,240.70863636363637
BA,Nordeste,3229,584614.21,18.223908330752554,181.05116444719727
CE,Nordeste,1258,261985.47,19.754372019077902,208.25554054054055
DF,Centro-Oeste,2079,345906.69,12.482443482443482,166.38128427128427
ES,Sudeste,1986,316489.73,14.886706948640484,159.36038771399797
GO,Centro-Oeste,1953,333377.87,14.921146953405017,170.70039426523297
MA,Nordeste,712,146758.63999999998,20.660112359550563,206.12168539325842
MG,Sudeste,11345,1816895.19,11.47906566769502,160.1494217717056
MS,Centro-Oeste,701,134421.54,15.191155492154065,191.75683309557775
MT,Centro-Oeste,883,180754.93,17.412231030577576,204.70546998867496
PA,Norte,935,208055.63999999998,22.60427807486631,222.5194010695187
PB,Nordeste,513,137320.98,19.499025341130604,267.68222222222226
PE,Nordeste,1584,307607.42,17.5864898989899,194.19660353535352
PI,Nordeste,472,103943.43,18.048728813559322,220.21913135593218
PR,Sul,4917,781185.4,11.449054301403295,158.87439495627416
RJ,Sudeste,12260,2039031.87,14.384665579119087,166.3158132137031
RN,Nordeste,470,99967.15,18.151063829787233,212.69606382978722
RO,Norte,243,56975.7,18.91358024691358,234.46790123456788
RR,Norte,38,8428.51,22.94736842105263,221.80289473684212
RS,Sul,5335,859383.53,14.683786316776008,161.08407310215557
SC,Sul,3540,594380.21,14.366949152542373,167.90401412429378
SE,Nordeste,332,69693.26,19.84036144578313,209.91945783132527
SP,Sudeste,40440,5757633.24,8.190999010880317,142.37470919881306
TO,Norte,274,60007.37,17.226277372262775,219.005
