ano_mes,regiao,qtd_pedidos,receita_total
2016-10,Centro-Oeste,14,2357.67
2016-10,Nordeste,27,5515.34
2016-10,Norte,5,1352.11
2016-10,Sudeste,171,28421.18
2016-10,Sul,45,7979.18
2016-12,Sul,1,19.62
2017-01,Centro-Oeste,40,8616.7
2017-01,Nordeste,65,12150.93
2017-01,Norte,17,3748.44
2017-01,Sudeste,484,77872.32
2017-01,Sul,138,24557.69
2017-02,Centro-Oeste,72,24679.98
2017-02,Nordeste,152,26075.91
2017-02,Norte,55,15918.0
2017-02,Sudeste,1101,157719.58
2017-02,Sul,267,45122.32
2017-03,Centro-Oeste,135,27203.44
2017-03,Nordeste,236,47081.909999999996
2017-03,Norte,67,13758.99
2017-03,Sudeste,1720,262344.2
2017-03,Sul,368,60049.78
2017-04,Centro-Oeste,111,20900.65
2017-04,Nordeste,255,50814.4
2017-04,Norte,76,13225.19
2017-04,Sudeste,1509,254030.11
2017-04,Sul,344,50794.71
2017-05,Centro-Oeste,205,38387.63
2017-05,Nordeste,369,71235.9
2017-05,Norte,81,15146.53
2017-05,Sudeste,2328,347046.3
2017-05,Sul,555,92465.15
2017-06,Centro-Oeste,193,29572.18
2017-06,Nordeste,266,56716.13
2017-06,Norte,64,14622.56
2017-06,Sudeste,2112,318831.66
2017-06,Sul,490,69263.29
2017-07,Centro-Oeste,213,38837.56
2017-07,Nordeste,401,67934.25
2017-07,Norte,59,9519.4
2017-07,Sudeste,2603,363914.64
2017-07,Sul,588,85100.67
2017-08,Centro-Oeste,234,39308.4
2017-08,Nordeste,438,90896.45
2017-08,Norte,98,25087.61
2017-08,Sudeste,2753,391566.11
2017-08,Sul,668,98852.2
2017-09,Centro-Oeste,244,44587.94
2017-09,Nordeste,459,96299.87
2017-09,Norte,88,18846.34
2017-09,Sudeste,2750,441463.25
2017-09,Sul,602,97218.97
2017-10,Centro-Oeste,281,54203.83
2017-10,Nordeste,468,107449.85
2017-10,Norte,91,17274.579999999998
2017-10,Sudeste,3016,465988.67
2017-10,Sul,615,105285.83
2017-11,Centro-Oeste,426,75127.01
2017-11,Nordeste,672,127168.6
2017-11,Norte,124,29295.72
2017-11,Sudeste,4980,749585.59
2017-11,Sul,1059,165325.22
2017-12,Centro-Oeste,336,54294.55
2017-12,Nordeste,522,91539.52
2017-12,Norte,98,20048.38
2017-12,Sudeste,3806,559597.84
2017-12,Sul,727,110840.31
2018-01,Centro-Oeste,431,65207.1
2018-01,Nordeste,628,115945.64
2018-01,Norte,134,30019.04
2018-01,Sudeste,4796,708599.18
2018-01,Sul,1048,150786.12
2018-02,Centro-Oeste,447,65917.27
2018-02,Nordeste,593,108819.85
2018-02,Norte,103,20135.670000000002
2018-02,Sudeste,4410,620369.64
2018-02,Sul,950,143738.14
2018-03,Centro-Oeste,397,65199.06
2018-03,Nordeste,633,137416.45
2018-03,Norte,116,26101.47
2018-03,Sudeste,4805,716948.45
2018-03,Sul,1020,167548.41
2018-04,Centro-Oeste,385,64325.04
2018-04,Nordeste,594,122549.29
2018-04,Norte,110,26069.87
2018-04,Sudeste,4720,729099.14
2018-04,Sul,971,186742.53
2018-05,Centro-Oeste,386,82223.76
2018-05,Nordeste,550,106907.42
2018-05,Norte,91,20687.91
2018-05,Sudeste,4831,762587.66
2018-05,Sul,884,155541.81
2018-06,Centro-Oeste,359,64035.82
2018-06,Nordeste,541,124154.58
2018-06,Norte,100,23055.28
2018-06,Sudeste,4275,656115.34
2018-06,Sul,815,142450.97
2018-07,Centro-Oeste,373,72564.5
2018-07,Nordeste,662,152059.02
2018-07,Norte,128,32838.69
2018-07,Sudeste,4171,630031.6
2018-07,Sul,816,138756.97
2018-08,Centro-Oeste,334,56910.94
2018-08,Nordeste,433,85834.06
2018-08,Norte,73,18242.46
2018-08,Sudeste,4690,687917.57
2018-08,Sul,821,136509.25
