ano_mes,qtd_pedidos,receita_total,tempo_medio_entrega
2016-09,1,134.97,54.0
2016-10,262,39577.15,18.65806451612903
2016-12,1,10.9,4.0
2017-01,744,111353.36,11.465193370165746
2017-02,1647,232572.81,12.23110151187905
2017-03,2526,355945.07,11.493045897079277
2017-04,2295,339687.59,13.818359375
2017-05,3538,487077.03,10.615731462925853
2017-06,3125,420891.44,11.177975848188614
2017-07,3864,480678.84,10.870689655172415
2017-08,4191,554438.9,10.432533889468196
2017-09,4143,604942.97,11.293023255813953
2017-10,4471,647488.1900000001,11.176493182254656
2017-11,7261,981519.8,14.327057430432209
2017-12,5489,720051.54,14.531483284647841
2018-01,7037,917681.97,13.32233058264566
2018-02,6503,820169.01,16.012593783494104
2018-03,6971,946865.98,15.376628256513026
2018-04,6780,970032.36,10.72297643442623
2018-05,6742,976788.61,10.79110598487761
2018-06,6090,854073.67,8.587201828310242
2018-07,6150,866527.69,8.377768190969226
2018-08,6351,838576.64,7.250630075609073
